,visual acuity,side,year,age,gender,n
0,"[0.0, 0.15)",left,2011,"[0.0, 20.0)",male,91
1,"[0.0, 0.15)",left,2011,"[0.0, 20.0)",female,126
2,"[0.0, 0.15)",left,2011,"[20.0, 25.0)",male,829
3,"[0.0, 0.15)",left,2011,"[20.0, 25.0)",female,2302
4,"[0.0, 0.15)",left,2011,"[25.0, 30.0)",male,4187
5,"[0.0, 0.15)",left,2011,"[25.0, 30.0)",female,4715
6,"[0.0, 0.15)",left,2011,"[30.0, 35.0)",male,6061
7,"[0.0, 0.15)",left,2011,"[30.0, 35.0)",female,3315
8,"[0.0, 0.15)",left,2011,"[35.0, 40.0)",male,5483
9,"[0.0, 0.15)",left,2011,"[35.0, 40.0)",female,2091
10,"[0.0, 0.15)",left,2011,"[40.0, 45.0)",male,4755
11,"[0.0, 0.15)",left,2011,"[40.0, 45.0)",female,4060
12,"[0.0, 0.15)",left,2011,"[45.0, 50.0)",male,5903
13,"[0.0, 0.15)",left,2011,"[45.0, 50.0)",female,5189
14,"[0.0, 0.15)",left,2011,"[50.0, 55.0)",male,7553
15,"[0.0, 0.15)",left,2011,"[50.0, 55.0)",female,9486
16,"[0.0, 0.15)",left,2011,"[55.0, 60.0)",male,5627
17,"[0.0, 0.15)",left,2011,"[55.0, 60.0)",female,7153
18,"[0.0, 0.15)",left,2011,"[60.0, 65.0)",male,6070
19,"[0.0, 0.15)",left,2011,"[60.0, 65.0)",female,10039
20,"[0.0, 0.15)",left,2011,"[65.0, 70.0)",male,3299
21,"[0.0, 0.15)",left,2011,"[65.0, 70.0)",female,4887
22,"[0.0, 0.15)",left,2011,"[70.0, 75.0)",male,8013
23,"[0.0, 0.15)",left,2011,"[70.0, 75.0)",female,13329
24,"[0.0, 0.15)",left,2011,"[75.0, 80.0)",male,4551
25,"[0.0, 0.15)",left,2011,"[75.0, 80.0)",female,8142
26,"[0.0, 0.15)",left,2011,"[80.0, 85.0)",male,3095
27,"[0.0, 0.15)",left,2011,"[80.0, 85.0)",female,6508
28,"[0.0, 0.15)",left,2011,"[85.0, inf)",male,1321
29,"[0.0, 0.15)",left,2011,"[85.0, inf)",female,3776
30,"[0.0, 0.15)",left,2017,"[0.0, 20.0)",male,121
31,"[0.0, 0.15)",left,2017,"[0.0, 20.0)",female,135
32,"[0.0, 0.15)",left,2017,"[20.0, 25.0)",male,787
33,"[0.0, 0.15)",left,2017,"[20.0, 25.0)",female,1942
34,"[0.0, 0.15)",left,2017,"[25.0, 30.0)",male,2138
35,"[0.0, 0.15)",left,2017,"[25.0, 30.0)",female,3844
36,"[0.0, 0.15)",left,2017,"[30.0, 35.0)",male,2633
37,"[0.0, 0.15)",left,2017,"[30.0, 35.0)",female,3062
38,"[0.0, 0.15)",left,2017,"[35.0, 40.0)",male,2821
39,"[0.0, 0.15)",left,2017,"[35.0, 40.0)",female,2054
40,"[0.0, 0.15)",left,2017,"[40.0, 45.0)",male,3811
41,"[0.0, 0.15)",left,2017,"[40.0, 45.0)",female,5180
42,"[0.0, 0.15)",left,2017,"[45.0, 50.0)",male,4078
43,"[0.0, 0.15)",left,2017,"[45.0, 50.0)",female,5658
44,"[0.0, 0.15)",left,2017,"[50.0, 55.0)",male,4886
45,"[0.0, 0.15)",left,2017,"[50.0, 55.0)",female,7621
46,"[0.0, 0.15)",left,2017,"[55.0, 60.0)",male,4764
47,"[0.0, 0.15)",left,2017,"[55.0, 60.0)",female,7098
48,"[0.0, 0.15)",left,2017,"[60.0, 65.0)",male,6029
49,"[0.0, 0.15)",left,2017,"[60.0, 65.0)",female,9801
50,"[0.0, 0.15)",left,2017,"[65.0, 70.0)",male,5027
51,"[0.0, 0.15)",left,2017,"[65.0, 70.0)",female,7333
52,"[0.0, 0.15)",left,2017,"[70.0, 75.0)",male,7220
53,"[0.0, 0.15)",left,2017,"[70.0, 75.0)",female,11090
54,"[0.0, 0.15)",left,2017,"[75.0, 80.0)",male,5734
55,"[0.0, 0.15)",left,2017,"[75.0, 80.0)",female,9147
56,"[0.0, 0.15)",left,2017,"[80.0, 85.0)",male,4889
57,"[0.0, 0.15)",left,2017,"[80.0, 85.0)",female,9172
58,"[0.0, 0.15)",left,2017,"[85.0, inf)",male,1891
59,"[0.0, 0.15)",left,2017,"[85.0, inf)",female,5834
60,"[0.0, 0.15)",left,2016,"[0.0, 20.0)",male,133
61,"[0.0, 0.15)",left,2016,"[0.0, 20.0)",female,141
62,"[0.0, 0.15)",left,2016,"[20.0, 25.0)",male,827
63,"[0.0, 0.15)",left,2016,"[20.0, 25.0)",female,2126
64,"[0.0, 0.15)",left,2016,"[25.0, 30.0)",male,2081
65,"[0.0, 0.15)",left,2016,"[25.0, 30.0)",female,4058
66,"[0.0, 0.15)",left,2016,"[30.0, 35.0)",male,2831
67,"[0.0, 0.15)",left,2016,"[30.0, 35.0)",female,3198
68,"[0.0, 0.15)",left,2016,"[35.0, 40.0)",male,2831
69,"[0.0, 0.15)",left,2016,"[35.0, 40.0)",female,2056
70,"[0.0, 0.15)",left,2016,"[40.0, 45.0)",male,3983
71,"[0.0, 0.15)",left,2016,"[40.0, 45.0)",female,5136
72,"[0.0, 0.15)",left,2016,"[45.0, 50.0)",male,4027
73,"[0.0, 0.15)",left,2016,"[45.0, 50.0)",female,5836
74,"[0.0, 0.15)",left,2016,"[50.0, 55.0)",male,5114
75,"[0.0, 0.15)",left,2016,"[50.0, 55.0)",female,7690
76,"[0.0, 0.15)",left,2016,"[55.0, 60.0)",male,4833
77,"[0.0, 0.15)",left,2016,"[55.0, 60.0)",female,7474
78,"[0.0, 0.15)",left,2016,"[60.0, 65.0)",male,6043
79,"[0.0, 0.15)",left,2016,"[60.0, 65.0)",female,9981
80,"[0.0, 0.15)",left,2016,"[65.0, 70.0)",male,5187
81,"[0.0, 0.15)",left,2016,"[65.0, 70.0)",female,7946
82,"[0.0, 0.15)",left,2016,"[70.0, 75.0)",male,7625
83,"[0.0, 0.15)",left,2016,"[70.0, 75.0)",female,12286
84,"[0.0, 0.15)",left,2016,"[75.0, 80.0)",male,5363
85,"[0.0, 0.15)",left,2016,"[75.0, 80.0)",female,8764
86,"[0.0, 0.15)",left,2016,"[80.0, 85.0)",male,4596
87,"[0.0, 0.15)",left,2016,"[80.0, 85.0)",female,8685
88,"[0.0, 0.15)",left,2016,"[85.0, inf)",male,1699
89,"[0.0, 0.15)",left,2016,"[85.0, inf)",female,5529
90,"[0.0, 0.15)",left,2015,"[0.0, 20.0)",male,156
91,"[0.0, 0.15)",left,2015,"[0.0, 20.0)",female,190
92,"[0.0, 0.15)",left,2015,"[20.0, 25.0)",male,815
93,"[0.0, 0.15)",left,2015,"[20.0, 25.0)",female,2026
94,"[0.0, 0.15)",left,2015,"[25.0, 30.0)",male,2269
95,"[0.0, 0.15)",left,2015,"[25.0, 30.0)",female,3806
96,"[0.0, 0.15)",left,2015,"[30.0, 35.0)",male,3181
97,"[0.0, 0.15)",left,2015,"[30.0, 35.0)",female,3600
98,"[0.0, 0.15)",left,2015,"[35.0, 40.0)",male,2813
99,"[0.0, 0.15)",left,2015,"[35.0, 40.0)",female,2351
100,"[0.0, 0.15)",left,2015,"[40.0, 45.0)",male,4165
101,"[0.0, 0.15)",left,2015,"[40.0, 45.0)",female,5453
102,"[0.0, 0.15)",left,2015,"[45.0, 50.0)",male,4177
103,"[0.0, 0.15)",left,2015,"[45.0, 50.0)",female,5790
104,"[0.0, 0.15)",left,2015,"[50.0, 55.0)",male,5281
105,"[0.0, 0.15)",left,2015,"[50.0, 55.0)",female,8047
106,"[0.0, 0.15)",left,2015,"[55.0, 60.0)",male,4787
107,"[0.0, 0.15)",left,2015,"[55.0, 60.0)",female,7205
108,"[0.0, 0.15)",left,2015,"[60.0, 65.0)",male,5567
109,"[0.0, 0.15)",left,2015,"[60.0, 65.0)",female,9201
110,"[0.0, 0.15)",left,2015,"[65.0, 70.0)",male,5438
111,"[0.0, 0.15)",left,2015,"[65.0, 70.0)",female,8123
112,"[0.0, 0.15)",left,2015,"[70.0, 75.0)",male,7384
113,"[0.0, 0.15)",left,2015,"[70.0, 75.0)",female,11669
114,"[0.0, 0.15)",left,2015,"[75.0, 80.0)",male,5281
115,"[0.0, 0.15)",left,2015,"[75.0, 80.0)",female,8715
116,"[0.0, 0.15)",left,2015,"[80.0, 85.0)",male,4276
117,"[0.0, 0.15)",left,2015,"[80.0, 85.0)",female,8183
118,"[0.0, 0.15)",left,2015,"[85.0, inf)",male,1600
119,"[0.0, 0.15)",left,2015,"[85.0, inf)",female,5050
120,"[0.0, 0.15)",left,2014,"[0.0, 20.0)",male,154
121,"[0.0, 0.15)",left,2014,"[0.0, 20.0)",female,188
122,"[0.0, 0.15)",left,2014,"[20.0, 25.0)",male,720
123,"[0.0, 0.15)",left,2014,"[20.0, 25.0)",female,1944
124,"[0.0, 0.15)",left,2014,"[25.0, 30.0)",male,2171
125,"[0.0, 0.15)",left,2014,"[25.0, 30.0)",female,3689
126,"[0.0, 0.15)",left,2014,"[30.0, 35.0)",male,3194
127,"[0.0, 0.15)",left,2014,"[30.0, 35.0)",female,3150
128,"[0.0, 0.15)",left,2014,"[35.0, 40.0)",male,2712
129,"[0.0, 0.15)",left,2014,"[35.0, 40.0)",female,2056
130,"[0.0, 0.15)",left,2014,"[40.0, 45.0)",male,2968
131,"[0.0, 0.15)",left,2014,"[40.0, 45.0)",female,3750
132,"[0.0, 0.15)",left,2014,"[45.0, 50.0)",male,4039
133,"[0.0, 0.15)",left,2014,"[45.0, 50.0)",female,5155
134,"[0.0, 0.15)",left,2014,"[50.0, 55.0)",male,5380
135,"[0.0, 0.15)",left,2014,"[50.0, 55.0)",female,8111
136,"[0.0, 0.15)",left,2014,"[55.0, 60.0)",male,4729
137,"[0.0, 0.15)",left,2014,"[55.0, 60.0)",female,6783
138,"[0.0, 0.15)",left,2014,"[60.0, 65.0)",male,5391
139,"[0.0, 0.15)",left,2014,"[60.0, 65.0)",female,9208
140,"[0.0, 0.15)",left,2014,"[65.0, 70.0)",male,2970
141,"[0.0, 0.15)",left,2014,"[65.0, 70.0)",female,3975
142,"[0.0, 0.15)",left,2014,"[70.0, 75.0)",male,7578
143,"[0.0, 0.15)",left,2014,"[70.0, 75.0)",female,12634
144,"[0.0, 0.15)",left,2014,"[75.0, 80.0)",male,4795
145,"[0.0, 0.15)",left,2014,"[75.0, 80.0)",female,8527
146,"[0.0, 0.15)",left,2014,"[80.0, 85.0)",male,3648
147,"[0.0, 0.15)",left,2014,"[80.0, 85.0)",female,7533
148,"[0.0, 0.15)",left,2014,"[85.0, inf)",male,1455
149,"[0.0, 0.15)",left,2014,"[85.0, inf)",female,4741
150,"[0.0, 0.15)",left,2013,"[0.0, 20.0)",male,172
151,"[0.0, 0.15)",left,2013,"[0.0, 20.0)",female,199
152,"[0.0, 0.15)",left,2013,"[20.0, 25.0)",male,741
153,"[0.0, 0.15)",left,2013,"[20.0, 25.0)",female,2087
154,"[0.0, 0.15)",left,2013,"[25.0, 30.0)",male,2261
155,"[0.0, 0.15)",left,2013,"[25.0, 30.0)",female,4019
156,"[0.0, 0.15)",left,2013,"[30.0, 35.0)",male,3440
157,"[0.0, 0.15)",left,2013,"[30.0, 35.0)",female,3190
158,"[0.0, 0.15)",left,2013,"[35.0, 40.0)",male,2762
159,"[0.0, 0.15)",left,2013,"[35.0, 40.0)",female,1787
160,"[0.0, 0.15)",left,2013,"[40.0, 45.0)",male,3030
161,"[0.0, 0.15)",left,2013,"[40.0, 45.0)",female,3921
162,"[0.0, 0.15)",left,2013,"[45.0, 50.0)",male,3877
163,"[0.0, 0.15)",left,2013,"[45.0, 50.0)",female,4880
164,"[0.0, 0.15)",left,2013,"[50.0, 55.0)",male,4963
165,"[0.0, 0.15)",left,2013,"[50.0, 55.0)",female,7946
166,"[0.0, 0.15)",left,2013,"[55.0, 60.0)",male,4380
167,"[0.0, 0.15)",left,2013,"[55.0, 60.0)",female,6960
168,"[0.0, 0.15)",left,2013,"[60.0, 65.0)",male,5013
169,"[0.0, 0.15)",left,2013,"[60.0, 65.0)",female,8661
170,"[0.0, 0.15)",left,2013,"[65.0, 70.0)",male,2701
171,"[0.0, 0.15)",left,2013,"[65.0, 70.0)",female,3755
172,"[0.0, 0.15)",left,2013,"[70.0, 75.0)",male,7599
173,"[0.0, 0.15)",left,2013,"[70.0, 75.0)",female,12435
174,"[0.0, 0.15)",left,2013,"[75.0, 80.0)",male,4549
175,"[0.0, 0.15)",left,2013,"[75.0, 80.0)",female,8027
176,"[0.0, 0.15)",left,2013,"[80.0, 85.0)",male,3402
177,"[0.0, 0.15)",left,2013,"[80.0, 85.0)",female,6597
178,"[0.0, 0.15)",left,2013,"[85.0, inf)",male,1290
179,"[0.0, 0.15)",left,2013,"[85.0, inf)",female,3977
180,"[0.0, 0.15)",left,2012,"[0.0, 20.0)",male,85
181,"[0.0, 0.15)",left,2012,"[0.0, 20.0)",female,133
182,"[0.0, 0.15)",left,2012,"[20.0, 25.0)",male,711
183,"[0.0, 0.15)",left,2012,"[20.0, 25.0)",female,1955
184,"[0.0, 0.15)",left,2012,"[25.0, 30.0)",male,2294
185,"[0.0, 0.15)",left,2012,"[25.0, 30.0)",female,3813
186,"[0.0, 0.15)",left,2012,"[30.0, 35.0)",male,3362
187,"[0.0, 0.15)",left,2012,"[30.0, 35.0)",female,3242
188,"[0.0, 0.15)",left,2012,"[35.0, 40.0)",male,3072
189,"[0.0, 0.15)",left,2012,"[35.0, 40.0)",female,2069
